"Package","Version","LibPath"
"httpuv","1.6.15","/usr/local/lib/R/site-library"
"httr","1.4.7","/usr/local/lib/R/site-library"
"httr2","1.1.0","/usr/local/lib/R/site-library"
"ids","1.0.1","/usr/local/lib/R/site-library"
"ini","0.3.1","/usr/local/lib/R/site-library"
"isoband","0.2.7","/usr/local/lib/R/site-library"
"jquerylib","0.1.4","/usr/local/lib/R/site-library"
"jsonlite","1.9.0","/usr/local/lib/R/site-library"
"jsonvalidate","1.5.0","/usr/local/lib/R/site-library"
"katex","1.5.0","/usr/local/lib/R/site-library"
"knitr","1.49","/usr/local/lib/R/site-library"
"labeling","0.4.3","/usr/local/lib/R/site-library"
"later","1.4.1","/usr/local/lib/R/site-library"
"lazyeval","0.2.2","/usr/local/lib/R/site-library"
"lifecycle","1.0.4","/usr/local/lib/R/site-library"
"listenv","0.9.1","/usr/local/lib/R/site-library"
"littler","0.3.20","/usr/local/lib/R/site-library"
"lmtest","0.9-40","/usr/local/lib/R/site-library"
"lubridate","1.9.4","/usr/local/lib/R/site-library"
"magrittr","2.0.3","/usr/local/lib/R/site-library"
"markdown","1.13","/usr/local/lib/R/site-library"
"maxLik","1.5-2.1","/usr/local/lib/R/site-library"
"memoise","2.0.1","/usr/local/lib/R/site-library"
"mime","0.12","/usr/local/lib/R/site-library"
"miniUI","0.1.1.1","/usr/local/lib/R/site-library"
"miscTools","0.6-28","/usr/local/lib/R/site-library"
"mockery","0.4.4","/usr/local/lib/R/site-library"
"mockr","0.2.1","/usr/local/lib/R/site-library"
"modelr","0.1.11","/usr/local/lib/R/site-library"
"modules","0.13.0","/usr/local/lib/R/site-library"
"munsell","0.5.1","/usr/local/lib/R/site-library"
"openssl","2.3.2","/usr/local/lib/R/site-library"
"packrat","0.9.2","/usr/local/lib/R/site-library"
"pak","0.8.0.1","/usr/local/lib/R/site-library"
"parallelly","1.42.0","/usr/local/lib/R/site-library"
"pillar","1.10.1","/usr/local/lib/R/site-library"
"pkgbuild","1.4.6","/usr/local/lib/R/site-library"
"pkgconfig","2.0.3","/usr/local/lib/R/site-library"
"pkgdown","2.1.1","/usr/local/lib/R/site-library"
"pkgload","1.4.0","/usr/local/lib/R/site-library"
"PKI","0.1-14","/usr/local/lib/R/site-library"
"plm","2.6-5","/usr/local/lib/R/site-library"
"png","0.1-8","/usr/local/lib/R/site-library"
"praise","1.0.0","/usr/local/lib/R/site-library"
"prettyunits","1.2.0","/usr/local/lib/R/site-library"
"processx","3.8.6","/usr/local/lib/R/site-library"
"profvis","0.4.0","/usr/local/lib/R/site-library"
"progress","1.2.3","/usr/local/lib/R/site-library"
"promises","1.3.2","/usr/local/lib/R/site-library"
"ps","1.9.0","/usr/local/lib/R/site-library"
"purrr","1.0.4","/usr/local/lib/R/site-library"
"R6","2.6.1","/usr/local/lib/R/site-library"
"ragg","1.3.3","/usr/local/lib/R/site-library"
"rappdirs","0.3.3","/usr/local/lib/R/site-library"
